,0
0,DA1
1,DA3
2,DL1
3,VA6
4,VA4
5,VA5
6,VM7v
7,VP1
8,V
9,VA1d
10,DM5
11,VM4
12,D
13,VC4
14,VC3m
15,VM1
16,DL2v
17,VM7d
18,DC2
19,VA7l
20,DC3
21,DL2d
22,DA2
23,DM6
24,VC3l
25,DM2
26,VM3
27,DL3
28,VC1
29,VM5d
30,VP3
31,VL1
32,DC1
33,DM1
34,VP2
35,VM2
36,VC2
37,DM3
38,VA7m
39,VM5v
40,DL5
41,DM4
42,DL4
43,DA4l
44,DP1m
45,VA1v
46,VC5
47,DA4m
48,VA2
49,DC4
50,DP1l
51,VA3
52,VL2p
53,VL2a
