,0
0,8.0
1,16.0
2,18.0
3,12.0
4,11.0
5,13.0
6,12.0
7,22.0
8,16.0
9,17.0
10,3.0
11,10.0
12,10.0
13,22.0
14,11.0
15,3.0
16,38.0
17,21.0
18,5.0
19,10.0
20,32.0
21,33.0
22,23.0
23,9.0
24,13.0
25,13.0
26,18.0
27,3.0
28,13.0
29,11.0
30,20.0
31,21.0
32,17.0
33,19.0
34,16.0
35,18.0
36,12.0
37,19.0
38,20.0
39,15.0
40,20.0
41,19.0
42,24.0
43,26.0
44,38.0
45,16.0
46,21.0
47,10.0
48,13.0
49,17.0
50,16.0
51,16.0
52,15.0
53,12.0
54,3.0
55,21.0
56,19.0
57,10.0
58,26.0
59,12.0
60,15.0
61,15.0
62,5.0
63,11.0
64,14.0
65,14.0
66,11.0
67,16.0
68,19.0
69,17.0
70,14.0
71,25.0
72,15.0
73,22.0
74,25.0
75,20.0
76,27.0
77,8.0
78,16.0
79,23.0
80,23.0
81,13.0
82,6.0
83,8.0
84,10.0
85,6.0
86,14.0
87,12.0
88,26.0
89,27.0
90,23.0
91,16.0
92,18.0
93,23.0
94,8.0
95,16.0
96,28.0
97,15.0
98,24.0
99,19.0
100,8.0
101,15.0
102,38.0
103,25.0
104,20.0
105,18.0
106,6.0
107,27.0
108,14.0
109,5.0
110,19.0
111,11.0
112,9.0
113,12.0
114,14.0
115,17.0
116,21.0
117,12.0
118,27.0
119,8.0
120,23.0
121,4.0
122,10.0
123,19.0
124,18.0
125,7.0
126,17.0
127,18.0
128,15.0
129,21.0
130,29.0
131,28.0
132,23.0
133,11.0
134,7.0
135,27.0
136,32.0
137,29.0
138,37.0
139,3.0
140,31.0
141,18.0
142,14.0
143,40.0
144,28.0
145,15.0
146,38.0
147,29.0
148,22.0
149,25.0
150,30.0
151,11.0
152,19.0
153,20.0
154,14.0
155,9.0
156,7.0
157,13.0
158,21.0
159,6.0
160,4.0
161,13.0
162,6.0
163,28.0
164,10.0
165,14.0
166,5.0
167,16.0
168,15.0
169,8.0
170,36.0
171,17.0
172,31.0
173,14.0
174,9.0
175,10.0
176,16.0
177,13.0
178,9.0
179,9.0
180,18.0
181,6.0
182,13.0
183,5.0
184,15.0
185,6.0
186,5.0
187,7.0
188,15.0
189,18.0
190,17.0
191,11.0
192,9.0
193,6.0
194,11.0
195,11.0
196,28.0
197,10.0
198,8.0
199,14.0
200,4.0
201,10.0
202,24.0
203,27.0
204,7.0
205,9.0
206,15.0
207,10.0
208,7.0
209,10.0
210,17.0
211,21.0
212,33.0
213,23.0
214,32.0
215,28.0
216,26.0
217,12.0
218,6.0
219,24.0
220,9.0
221,17.0
222,10.0
223,15.0
224,15.0
225,14.0
226,13.0
227,17.0
228,10.0
229,11.0
230,14.0
231,11.0
232,36.0
233,35.0
234,26.0
235,9.0
236,11.0
237,10.0
238,5.0
239,3.0
240,9.0
241,15.0
242,28.0
243,24.0
244,18.0
245,17.0
246,12.0
247,6.0
248,10.0
249,9.0
250,9.0
251,28.0
252,15.0
253,19.0
254,27.0
255,17.0
256,17.0
257,35.0
258,15.0
259,21.0
260,17.0
261,19.0
262,9.0
263,16.0
264,19.0
265,8.0
266,25.0
267,6.0
268,19.0
269,10.0
270,10.0
271,17.0
272,6.0
273,36.0
274,26.0
275,39.0
276,11.0
277,40.0
278,11.0
279,21.0
280,9.0
281,11.0
282,22.0
283,15.0
284,17.0
285,15.0
286,18.0
287,3.0
288,14.0
289,6.0
290,27.0
291,5.0
292,30.0
293,29.0
294,5.0
295,23.0
296,9.0
297,34.0
298,3.0
299,28.0
300,17.0
301,32.0
302,4.0
303,13.0
304,6.0
305,9.0
306,12.0
307,12.0
308,7.0
309,16.0
310,29.0
311,6.0
312,9.0
313,31.0
314,12.0
315,31.0
316,12.0
317,11.0
318,14.0
319,19.0
320,18.0
321,25.0
322,19.0
323,19.0
324,11.0
325,15.0
326,13.0
327,23.0
328,17.0
329,16.0
330,19.0
331,22.0
332,10.0
333,27.0
334,11.0
335,17.0
336,26.0
337,5.0
338,7.0
339,12.0
340,12.0
341,11.0
342,8.0
343,4.0
344,24.0
345,17.0
346,17.0
347,9.0
348,10.0
349,14.0
350,17.0
351,15.0
352,29.0
353,11.0
354,12.0
355,15.0
356,14.0
357,36.0
358,11.0
359,15.0
360,13.0
361,11.0
362,26.0
363,33.0
364,5.0
365,24.0
366,10.0
367,12.0
368,20.0
369,19.0
370,17.0
371,7.0
372,20.0
373,25.0
374,7.0
375,12.0
376,10.0
377,7.0
378,6.0
379,12.0
380,12.0
381,11.0
382,10.0
383,8.0
384,8.0
385,13.0
386,14.0
387,13.0
388,16.0
389,20.0
390,20.0
391,16.0
392,14.0
393,26.0
394,26.0
395,30.0
396,31.0
397,7.0
398,9.0
399,4.0
400,10.0
401,6.0
402,7.0
403,9.0
404,27.0
405,11.0
406,15.0
407,23.0
408,11.0
409,10.0
410,11.0
411,7.0
412,8.0
413,15.0
414,6.0
415,21.0
416,34.0
417,15.0
418,38.0
419,34.0
420,12.0
421,18.0
422,16.0
423,14.0
424,16.0
425,30.0
426,38.0
427,30.0
428,34.0
429,18.0
430,29.0
431,15.0
432,26.0
433,17.0
434,4.0
435,8.0
436,6.0
437,6.0
438,4.0
439,17.0
440,22.0
441,18.0
442,16.0
443,31.0
444,15.0
445,18.0
446,24.0
447,25.0
448,27.0
449,19.0
450,21.0
451,10.0
452,13.0
453,31.0
454,14.0
455,24.0
456,14.0
457,7.0
458,7.0
459,17.0
460,14.0
461,25.0
462,17.0
463,25.0
464,17.0
465,28.0
466,27.0
467,15.0
468,13.0
469,7.0
470,14.0
471,16.0
472,11.0
473,7.0
474,30.0
475,19.0
476,16.0
477,5.0
478,20.0
479,28.0
480,19.0
481,14.0
482,18.0
483,15.0
484,13.0
485,30.0
486,25.0
487,32.0
488,25.0
489,27.0
490,16.0
491,24.0
492,16.0
493,8.0
494,26.0
495,8.0
496,36.0
497,40.0
498,28.0
499,6.0
500,13.0
501,21.0
502,19.0
503,14.0
504,9.0
505,3.0
506,17.0
507,11.0
508,13.0
509,11.0
510,8.0
511,23.0
512,13.0
513,16.0
