,0
890,9.0
891,15.0
892,19.0
893,7.0
894,9.0
895,6.0
896,16.0
897,13.0
898,20.0
899,32.0
900,8.0
901,3.0
902,18.0
903,23.0
904,22.0
905,16.0
906,18.0
907,12.0
908,15.0
909,21.0
910,10.0
911,12.0
912,13.0
913,4.0
914,16.0
915,21.0
916,15.0
917,21.0
918,14.0
919,10.0
920,12.0
921,13.0
922,13.0
923,18.0
924,34.0
925,14.0
926,37.0
927,28.0
928,15.0
929,12.0
930,18.0
931,14.0
932,28.0
933,21.0
934,20.0
935,26.0
936,14.0
937,25.0
938,8.0
939,22.0
940,32.0
941,15.0
942,10.0
943,16.0
944,16.0
945,14.0
946,6.0
947,21.0
948,18.0
949,11.0
950,17.0
951,3.0
952,34.0
953,9.0
954,10.0
955,26.0
956,18.0
957,14.0
958,21.0
959,23.0
960,18.0
961,16.0
962,15.0
963,3.0
964,45.0
965,23.0
966,21.0
967,25.0
968,21.0
969,9.0
970,32.0
971,5.0
972,26.0
973,16.0
974,22.0
975,9.0
976,12.0
977,29.0
978,19.0
979,22.0
980,10.0
981,11.0
982,22.0
983,21.0
984,17.0
985,15.0
986,14.0
987,33.0
988,18.0
989,12.0
990,37.0
991,44.0
992,36.0
993,20.0
994,12.0
995,32.0
996,4.0
997,12.0
998,9.0
999,12.0
1000,11.0
1001,14.0
1002,17.0
1003,13.0
1004,14.0
1005,15.0
1006,26.0
1007,19.0
1008,14.0
1009,9.0
1010,12.0
1011,12.0
1012,16.0
1013,10.0
1014,10.0
1015,9.0
1016,15.0
1017,24.0
1018,15.0
1019,34.0
1020,26.0
1021,26.0
1022,13.0
1023,21.0
1024,5.0
1025,24.0
1026,24.0
1027,18.0
1028,16.0
1029,4.0
1030,5.0
1031,13.0
1032,13.0
1033,15.0
1034,38.0
1035,22.0
1036,15.0
1037,22.0
1038,5.0
1039,35.0
1040,24.0
1041,28.0
1042,20.0
1043,28.0
1044,12.0
1045,21.0
1046,24.0
1047,18.0
1048,14.0
1049,17.0
1050,19.0
1051,10.0
1052,4.0
1053,29.0
1054,22.0
1055,21.0
1056,17.0
1057,28.0
1058,16.0
1059,12.0
1060,27.0
1061,26.0
1062,6.0
1063,16.0
1064,16.0
1065,17.0
1066,13.0
1067,12.0
1068,30.0
1069,12.0
1070,9.0
1071,30.0
1072,29.0
1073,18.0
1074,24.0
1075,34.0
1076,10.0
1077,17.0
1078,11.0
1079,15.0
1080,25.0
1081,8.0
1082,18.0
1083,20.0
1084,21.0
1085,15.0
1086,10.0
1087,31.0
1088,29.0
1089,10.0
1090,13.0
1091,11.0
1092,13.0
1093,15.0
1094,7.0
1095,18.0
1096,8.0
1097,36.0
1098,38.0
1099,23.0
1100,43.0
1101,7.0
1102,8.0
1103,6.0
1104,27.0
1105,18.0
1106,21.0
1107,11.0
1108,28.0
1109,12.0
1110,35.0
1111,20.0
1112,37.0
1113,23.0
1114,19.0
1115,3.0
1116,34.0
1117,16.0
1118,31.0
1119,15.0
1120,19.0
1121,36.0
1122,10.0
1123,3.0
1124,22.0
1125,13.0
1126,10.0
1127,22.0
1128,16.0
1129,21.0
1130,21.0
1131,27.0
1132,24.0
1133,30.0
1134,12.0
1135,27.0
1136,20.0
1137,26.0
1138,27.0
1139,7.0
1140,17.0
1141,12.0
1142,15.0
1143,5.0
1144,7.0
1145,18.0
1146,7.0
1147,19.0
1148,24.0
1149,15.0
1150,26.0
1151,22.0
1152,20.0
1153,9.0
1154,24.0
1155,20.0
1156,10.0
1157,10.0
1158,20.0
1159,28.0
1160,14.0
1161,5.0
1162,26.0
1163,10.0
1164,10.0
1165,11.0
1166,14.0
1167,22.0
1168,27.0
1169,4.0
1170,23.0
1171,28.0
1172,15.0
1173,12.0
1174,20.0
1175,18.0
1176,11.0
1177,21.0
1178,16.0
1179,14.0
1180,14.0
1181,6.0
1182,13.0
1183,21.0
1184,9.0
1185,34.0
1186,11.0
1187,31.0
1188,41.0
1189,14.0
1190,24.0
1191,12.0
1192,21.0
1193,7.0
1194,18.0
1195,12.0
1196,11.0
1197,20.0
1198,4.0
1199,18.0
1200,16.0
1201,7.0
1202,10.0
1203,11.0
1204,10.0
1205,18.0
1206,5.0
1207,11.0
1208,7.0
1209,12.0
1210,21.0
1211,11.0
1212,13.0
1213,22.0
1214,14.0
1215,19.0
1216,15.0
1217,21.0
1218,10.0
1219,15.0
1220,8.0
1221,16.0
1222,17.0
1223,13.0
1224,17.0
1225,5.0
1226,6.0
1227,15.0
1228,13.0
1229,4.0
1230,17.0
1231,18.0
1232,11.0
1233,12.0
1234,13.0
1235,17.0
1236,11.0
1237,16.0
1238,12.0
1239,9.0
1240,12.0
1241,5.0
1242,23.0
1243,19.0
1244,7.0
1245,24.0
1246,24.0
1247,32.0
1248,13.0
1249,26.0
1250,21.0
1251,13.0
1252,22.0
1253,18.0
1254,6.0
1255,25.0
1256,32.0
1257,23.0
1258,23.0
1259,34.0
1260,7.0
1261,13.0
1262,35.0
1263,22.0
1264,30.0
1265,10.0
1266,16.0
1267,15.0
1268,21.0
1269,22.0
1270,10.0
1271,18.0
1272,6.0
1273,25.0
1274,19.0
1275,9.0
1276,11.0
1277,45.0
1278,16.0
1279,22.0
1280,31.0
1281,20.0
1282,10.0
1283,21.0
1284,31.0
1285,15.0
1286,17.0
1287,33.0
1288,46.0
1289,32.0
1290,26.0
1291,18.0
1292,25.0
1293,23.0
1294,36.0
1295,17.0
1296,24.0
1297,32.0
1298,18.0
1299,25.0
1300,23.0
1301,37.0
1302,3.0
1303,16.0
1304,17.0
1305,7.0
1306,13.0
1307,23.0
1308,31.0
1309,20.0
1310,11.0
1311,4.0
1312,22.0
1313,22.0
1314,26.0
1315,39.0
1316,26.0
1317,20.0
1318,16.0
1319,14.0
1320,20.0
1321,16.0
1322,24.0
1323,23.0
1324,34.0
1325,27.0
1326,29.0
1327,19.0
1328,24.0
1329,25.0
1330,26.0
1331,12.0
1332,16.0
1333,7.0
1334,16.0
1335,7.0
1336,8.0
1337,17.0
1338,16.0
1339,10.0
1340,20.0
1341,21.0
1342,30.0
1343,23.0
1344,32.0
1345,16.0
1346,18.0
1347,25.0
1348,8.0
1349,10.0
1350,10.0
1351,12.0
1352,15.0
1353,11.0
1354,14.0
1355,22.0
1356,15.0
1357,17.0
1358,28.0
1359,22.0
1360,21.0
1361,8.0
1362,18.0
1363,27.0
1364,16.0
1365,13.0
1366,13.0
1367,21.0
1368,31.0
1369,29.0
1370,34.0
1371,21.0
1372,30.0
1373,28.0
1374,18.0
1375,12.0
1376,15.0
1377,28.0
1378,17.0
1379,26.0
1380,14.0
1381,32.0
1382,25.0
1383,21.0
1384,23.0
1385,18.0
1386,24.0
1387,32.0
1388,24.0
1389,26.0
1390,7.0
1391,13.0
1392,7.0
1393,6.0
1394,4.0
1395,4.0
1396,7.0
1397,16.0
1398,13.0
1399,12.0
1400,7.0
1401,24.0
1402,20.0
1403,4.0
1404,9.0
1405,6.0
1406,8.0
1407,11.0
1408,22.0
1409,13.0
1410,12.0
1411,15.0
1412,22.0
1413,28.0
1414,26.0
1415,19.0
1416,15.0
1417,5.0
1418,12.0
1419,13.0
1420,8.0
1421,13.0
1422,11.0
1423,16.0
1424,10.0
1425,4.0
1426,11.0
1427,10.0
1428,12.0
1429,4.0
1430,40.0
1431,13.0
1432,15.0
1433,25.0
1434,15.0
1435,24.0
1436,21.0
1437,29.0
1438,12.0
1439,4.0
1440,7.0
1441,12.0
1442,3.0
1443,13.0
1444,25.0
1445,7.0
1446,7.0
1447,12.0
1448,22.0
1449,37.0
1450,39.0
1451,34.0
1452,21.0
1453,4.0
1454,26.0
1455,12.0
1456,8.0
1457,24.0
1458,12.0
1459,9.0
1460,10.0
1461,9.0
1462,8.0
1463,5.0
1464,5.0
1465,11.0
1466,10.0
1467,16.0
1468,11.0
1469,6.0
1470,6.0
1471,31.0
1472,18.0
1473,18.0
1474,20.0
1475,8.0
1476,14.0
1477,17.0
1478,32.0
1479,20.0
1480,21.0
1481,17.0
1482,12.0
1483,26.0
1484,31.0
1485,10.0
1486,13.0
1487,11.0
1488,16.0
1489,25.0
1490,15.0
1491,25.0
1492,17.0
1493,8.0
1494,20.0
1495,20.0
1496,9.0
1497,16.0
1498,21.0
1499,23.0
1500,20.0
1501,8.0
1502,14.0
1503,19.0
1504,16.0
1505,17.0
1506,12.0
1507,26.0
1508,20.0
1509,14.0
1510,14.0
1511,5.0
1512,11.0
1513,16.0
1514,21.0
1515,13.0
1516,13.0
1517,9.0
1518,4.0
1519,3.0
1520,22.0
1521,14.0
1522,12.0
1523,22.0
1524,18.0
1525,21.0
1526,9.0
1527,22.0
1528,19.0
1529,20.0
1530,15.0
1531,17.0
1532,7.0
1533,18.0
1534,4.0
1535,10.0
1536,19.0
1537,9.0
1538,17.0
1539,6.0
1540,11.0
1541,10.0
1542,12.0
1543,8.0
1544,5.0
1545,17.0
1546,5.0
1547,18.0
1548,38.0
1549,11.0
1550,3.0
1551,13.0
1552,12.0
1553,17.0
1554,21.0
1555,21.0
1556,26.0
1557,19.0
1558,13.0
1559,17.0
1560,10.0
1561,5.0
1562,5.0
1563,15.0
1564,14.0
1565,10.0
1566,18.0
1567,9.0
1568,10.0
1569,31.0
1570,17.0
1571,11.0
1572,13.0
1573,14.0
1574,25.0
1575,14.0
1576,14.0
1577,25.0
1578,8.0
1579,25.0
1580,4.0
1581,4.0
1582,16.0
1583,17.0
1584,16.0
1585,9.0
1586,5.0
1587,15.0
1588,10.0
1589,16.0
1590,3.0
1591,11.0
1592,21.0
1593,7.0
1594,8.0
1595,12.0
1596,9.0
1597,10.0
1598,3.0
1599,9.0
1600,12.0
1601,9.0
1602,28.0
1603,34.0
1604,31.0
1605,11.0
1606,12.0
1607,34.0
1608,6.0
1609,9.0
1610,6.0
1611,12.0
1612,14.0
1613,26.0
1614,3.0
1615,20.0
1616,16.0
1617,14.0
1618,38.0
1619,9.0
1620,27.0
1621,26.0
1622,12.0
1623,21.0
1624,9.0
1625,25.0
1626,13.0
1627,15.0
1628,6.0
1629,21.0
1630,13.0
1631,9.0
1632,5.0
1633,26.0
1634,19.0
1635,8.0
1636,11.0
1637,20.0
1638,12.0
1639,18.0
1640,18.0
1641,21.0
1642,11.0
1643,20.0
1644,25.0
1645,11.0
1646,10.0
1647,17.0
1648,9.0
1649,10.0
1650,20.0
1651,26.0
1652,10.0
1653,9.0
1654,36.0
1655,23.0
1656,16.0
1657,4.0
1658,14.0
1659,9.0
1660,25.0
1661,4.0
1662,11.0
1663,31.0
1664,5.0
1665,21.0
1666,19.0
1667,33.0
1668,23.0
1669,33.0
1670,22.0
1671,17.0
1672,29.0
1673,13.0
1674,4.0
1675,32.0
1676,17.0
1677,10.0
1678,12.0
1679,20.0
1680,22.0
1681,21.0
1682,11.0
1683,19.0
1684,21.0
1685,19.0
1686,14.0
1687,15.0
1688,6.0
1689,7.0
1690,15.0
1691,15.0
1692,29.0
1693,16.0
1694,24.0
1695,26.0
1696,17.0
1697,26.0
1698,11.0
1699,45.0
1700,27.0
1701,29.0
1702,24.0
1703,5.0
1704,14.0
1705,5.0
1706,11.0
1707,9.0
1708,11.0
1709,25.0
1710,14.0
1711,20.0
1712,13.0
1713,32.0
1714,17.0
1715,28.0
1716,39.0
1717,9.0
1718,9.0
1719,15.0
1720,13.0
1721,12.0
1722,13.0
1723,14.0
1724,26.0
1725,11.0
1726,14.0
1727,7.0
1728,14.0
1729,13.0
1730,13.0
1731,19.0
1732,24.0
1733,35.0
1734,23.0
1735,31.0
1736,4.0
1737,18.0
1738,29.0
1739,24.0
1740,26.0
1741,11.0
1742,11.0
1743,13.0
1744,23.0
1745,35.0
1746,22.0
1747,15.0
1748,16.0
1749,19.0
1750,39.0
1751,22.0
1752,36.0
1753,33.0
1754,30.0
1755,14.0
1756,14.0
1757,10.0
1758,5.0
1759,12.0
1760,23.0
1761,5.0
1762,13.0
1763,15.0
1764,16.0
1765,9.0
1766,11.0
1767,12.0
1768,4.0
1769,9.0
1770,20.0
1771,3.0
1772,5.0
1773,9.0
1774,8.0
1775,19.0
1776,4.0
1777,13.0
1778,15.0
1779,18.0
1780,21.0
1781,11.0
1782,10.0
1783,14.0
1784,14.0
1785,14.0
1786,24.0
1787,18.0
1788,12.0
1789,8.0
1790,8.0
1791,5.0
1792,12.0
1793,17.0
1794,27.0
1795,16.0
1796,15.0
1797,15.0
1798,15.0
1799,6.0
1800,10.0
1801,27.0
1802,9.0
1803,28.0
1804,17.0
1805,19.0
1806,24.0
1807,22.0
1808,17.0
1809,7.0
1810,17.0
1811,22.0
1812,12.0
1813,10.0
1814,17.0
1815,11.0
1816,12.0
1817,25.0
1818,15.0
1819,15.0
1820,19.0
1821,10.0
1822,4.0
1823,12.0
1824,14.0
1825,11.0
1826,9.0
1827,48.0
1828,25.0
1829,13.0
1830,19.0
1831,25.0
1832,16.0
1833,14.0
1834,22.0
1835,22.0
1836,5.0
1837,17.0
1838,14.0
1839,18.0
1840,9.0
1841,25.0
1842,18.0
1843,25.0
1844,31.0
1845,27.0
1846,8.0
1847,17.0
1848,15.0
1849,7.0
1850,11.0
1851,18.0
1852,29.0
1853,9.0
1854,24.0
1855,48.0
1856,35.0
1857,16.0
1858,17.0
1859,9.0
1860,17.0
1861,32.0
1862,17.0
1863,26.0
1864,12.0
1865,31.0
1866,18.0
1867,7.0
1868,22.0
1869,22.0
1870,23.0
1871,16.0
1872,19.0
1873,11.0
1874,32.0
1875,24.0
1876,15.0
1877,15.0
1878,18.0
1879,16.0
1880,18.0
1881,14.0
1882,24.0
1883,15.0
1884,33.0
1885,28.0
1886,20.0
1887,16.0
1888,22.0
1889,14.0
1890,26.0
1891,18.0
1892,15.0
1893,11.0
1894,27.0
1895,11.0
1896,25.0
1897,6.0
1898,16.0
1899,13.0
1900,9.0
1901,6.0
1902,10.0
1903,24.0
1904,5.0
1905,12.0
1906,18.0
1907,11.0
1908,7.0
1909,22.0
1910,15.0
1911,14.0
1912,18.0
1913,12.0
1914,17.0
1915,14.0
1916,16.0
1917,11.0
1918,32.0
1919,30.0
1920,4.0
1921,18.0
1922,7.0
1923,10.0
1924,4.0
1925,29.0
1926,13.0
1927,12.0
1928,13.0
1929,21.0
1930,7.0
1931,13.0
1932,14.0
1933,14.0
1934,9.0
1935,7.0
1936,5.0
1937,20.0
1938,25.0
1939,26.0
1940,19.0
1941,26.0
1942,17.0
1943,36.0
1944,20.0
1945,22.0
1946,18.0
1947,35.0
1948,6.0
1949,22.0
1950,5.0
1951,14.0
1952,29.0
1953,13.0
1954,26.0
1955,9.0
1956,5.0
1957,6.0
1958,7.0
1959,10.0
1960,6.0
1961,9.0
1962,25.0
1963,15.0
1964,12.0
1965,7.0
1966,14.0
1967,15.0
1968,20.0
1969,25.0
1970,20.0
1971,18.0
1972,42.0
1973,16.0
1974,17.0
1975,6.0
1976,17.0
1977,10.0
1978,14.0
1979,37.0
1980,45.0
1981,21.0
1982,18.0
1983,12.0
1984,9.0
1985,5.0
1986,6.0
1987,13.0
1988,8.0
1989,14.0
1990,19.0
1991,13.0
1992,17.0
1993,13.0
1994,22.0
1995,13.0
1996,37.0
1997,31.0
1998,38.0
1999,17.0
2000,26.0
2001,12.0
2002,25.0
2003,35.0
2004,29.0
2005,21.0
2006,27.0
2007,7.0
2008,11.0
2009,17.0
2010,12.0
2011,11.0
2012,16.0
2013,12.0
2014,16.0
2015,9.0
2016,5.0
2017,25.0
2018,17.0
2019,30.0
2020,20.0
2021,14.0
2022,21.0
2023,26.0
2024,17.0
2025,7.0
2026,14.0
2027,11.0
2028,16.0
2029,11.0
2030,35.0
2031,30.0
2032,45.0
2033,40.0
2034,3.0
2035,14.0
2036,8.0
2037,24.0
2038,12.0
2039,23.0
2040,8.0
2041,10.0
2042,16.0
2043,27.0
2044,26.0
2045,11.0
2046,24.0
2047,14.0
2048,4.0
2049,3.0
2050,11.0
2051,20.0
2052,19.0
2053,26.0
2054,12.0
2055,30.0
2056,36.0
2057,12.0
2058,8.0
2059,4.0
2060,4.0
2061,9.0
2062,3.0
2063,14.0
2064,14.0
2065,31.0
2066,26.0
2067,11.0
2068,15.0
2069,15.0
2070,13.0
2071,25.0
2072,7.0
2073,4.0
2074,31.0
2075,28.0
2076,7.0
2077,7.0
2078,12.0
2079,21.0
2080,5.0
2081,11.0
2082,13.0
2083,9.0
2084,10.0
2085,16.0
2086,16.0
2087,13.0
2088,15.0
2089,15.0
2090,7.0
2091,23.0
2092,9.0
2093,17.0
2094,10.0
2095,22.0
2096,16.0
2097,5.0
2098,10.0
2099,33.0
2100,26.0
2101,37.0
2102,26.0
2103,22.0
2104,22.0
2105,28.0
2106,22.0
2107,31.0
2108,17.0
2109,21.0
2110,19.0
2111,13.0
2112,14.0
2113,17.0
2114,12.0
2115,3.0
2116,16.0
2117,18.0
2118,14.0
2119,27.0
2120,8.0
2121,5.0
2122,16.0
2123,16.0
2124,19.0
2125,24.0
2126,12.0
2127,25.0
2128,4.0
2129,28.0
2130,26.0
2131,7.0
2132,11.0
2133,10.0
2134,19.0
2135,16.0
2136,5.0
2137,7.0
2138,9.0
2139,7.0
2140,6.0
